Project,No of Types,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,FAN-OUT,FAN-IN
enix_MassTransit-Stomp,11,16,39,6,0,32,421,51,1,1,2.06,18,18
entelect_Entelect,10,2,59,5,0,48,935,119,1,1,0.75,5,5
entelect_SetGen,13,4,44,41,0,12,990,165,4,4,0.8,13,13
EoghanGallgher_Smush_Master_Build,34,170,360,118,24,120,5930,1236,2,2,6.74,60,60
eouw0o83hf_Blog,43,86,274,145,4,60,2838,331,12,12,9.84,50,50
ephe-meral_EventAggregator-CSharp,5,2,12,0,0,8,135,17,2,2,0.5,7,7
epidemicz_EZData,7,6,18,4,0,11,585,82,0,0,0.8,3,3
episerver_ServiceApi-Client,40,41,137,175,17,50,3043,256,13,13,3.46,35,35
EQEmu_EQExtractor,79,269,429,72,214,331,10772,1334,31,65,20.36,230,230
ercananlama_JQDotNet,12,12,43,11,9,29,787,114,0,0,1.79,11,11
erickhaendel_pysfun-slingshot,0,0,0,0,0,0,0,0,0,0,0,0,0
ericlivergood_databaseutilities,3,5,12,0,5,3,234,39,0,0,0,3,3
ericpkatz_EKContentV4,51,25,183,154,1,152,2013,235,24,24,9.59,65,65
ericqubo_SerialPortPrint,8,23,33,1,2,22,1329,74,0,0,1.29,6,6
ericrrichards_ai,33,45,120,48,2,92,1098,178,16,16,6.92,87,87
ericrrichards_rts,20,38,78,15,4,70,1158,178,7,11,3.34,36,36
ericsink_DrawnDataGridFramework,113,124,299,60,45,166,4369,493,85,165,12.78,293,293
ermshiperete_BuildDependency,44,64,147,95,0,81,2726,361,8,8,6.46,93,93
eropple_Exor,15,24,47,8,16,36,614,86,4,4,2.52,14,14
eropple_sharplike,114,198,461,130,40,326,6860,927,51,62,43.84,217,217
eropple_SheetParser,13,18,38,4,9,23,400,68,5,5,1.91,10,10
errordite_dotnet-client,89,51,151,142,8,86,2765,301,14,12,9.21,118,118
ErshovYS_RSOI,4,14,10,3,0,1,194,24,0,0,0.81,1,1
ervwalter_currentcost-agent,6,16,18,6,0,6,333,46,0,0,1.45,4,4
Eskat0n_Sphinx.Client,130,217,454,263,1,240,7516,694,84,97,39.24,314,314
EspressoLogicCafe_WindowsCSharpDemo,29,33,53,93,0,17,1422,101,2,2,4.87,41,41
Esri_arcgis-pro-samples-beta,142,140,335,126,20,178,5680,577,14,14,16.62,126,126
esurharun_TSDumper,471,2559,2779,1492,174,974,71053,9482,138,159,189.05,1671,1671
eswann_Mapster,11,4,24,41,0,0,590,39,2,3,0,10,10
eteeselink_scandrop,14,21,64,16,2,27,877,112,0,0,3.74,12,12
Etersoul_trilogic-data,20,27,76,24,2,45,2101,283,3,3,5.75,26,26
etgryphon_codebuilder,8,32,46,0,0,44,438,56,4,7,2.14,7,7
etiennec_AideDC,36,95,161,21,30,81,2698,343,9,9,4.57,53,53
etinquis_Duvet,34,43,63,71,4,47,1415,124,18,25,4.2,61,61
etuhsu_code,182,751,1008,638,74,768,24779,2515,52,49,41.89,253,245
EventStore_buffer-manager,5,16,38,16,0,30,668,90,0,0,1.78,4,4
everfranca_PlusCondominio,251,1203,1264,737,378,502,28272,3570,98,114,76.28,470,470
evgusev_SportsStore,11,12,11,22,9,8,222,18,2,2,0,11,11
EVO-Snap_CSharp-SampleApp-Premium-CardNotPresent,655,2134,631,2012,103,161,55196,1801,169,189,245,927,927
EVO-Snap_CSharp-SampleApp-Premium-CardPresent,655,2134,631,2012,103,161,55196,1801,169,189,245,927,927
evolutional_greenbeanscript,33,77,148,38,27,89,2541,627,4,4,10.65,77,77
Evolveum_midpoint-password-agent-ad,244,787,259,716,40,104,13687,468,49,63,132.11,326,326
ewassef_MiniBus,44,100,163,39,14,99,3626,302,5,5,11.57,60,60
Excape_oAuth2TestClient,3,13,7,3,13,0,170,24,0,0,0,2,2
ExchangeServices_Tools,32,87,194,65,0,42,4638,758,0,0,10.38,34,34
exKAZUu_SimpleOpenCodeCoverageFramework,4,6,22,7,0,15,234,35,0,0,0.75,3,3
ExM_Money,5,6,19,12,1,18,423,21,1,1,0.38,5,5
ExM_OncRpc,85,219,317,17,114,177,4358,529,18,18,11.08,170,170
experient_LeadDevKitAPIv1Example,12,4,34,40,0,9,882,85,2,2,0.82,8,8
extesla_OpenGamingLibrary,299,562,1961,617,99,1167,38681,5931,139,146,65.62,992,992
EyeTribe_tet-csharp-client,132,429,660,297,258,528,11604,1056,36,39,21.39,261,261
ezeroone_he,52,148,860,92,53,452,8926,1597,14,14,12.92,37,37
EzUploadin_Ezuploadin,14,11,21,3,1,8,255,33,0,0,0,13,13
EZXInc_celera-gui,116,197,430,189,23,236,7706,1054,23,23,36.91,204,204
Faark_AssemblyBasedProfiler,24,32,97,28,13,70,1568,277,6,7,2.57,29,29
Faark_Faark.Gnomoria.LimbSurgery,23,31,113,16,5,67,1383,200,0,0,5.85,24,24
faboo_DbDiver,55,76,241,108,43,116,3292,559,13,15,9.33,108,108
fabriceleal_ImageProcessing,117,105,503,79,3,292,12835,1379,66,118,18.88,271,271
fakeezz_fluent-image,61,40,174,72,4,86,1733,259,37,43,11.99,75,75
fallenprogrammr_sudo4windows,3,1,6,0,0,2,269,19,0,0,0,1,1
Fanatorium_Fanabrary,26,4,83,37,0,77,1184,189,2,2,1.75,9,9
fanta-mnix_ServiceStack,1669,1595,8336,3220,479,4358,96862,13216,735,779,215.07,2591,2591
farzadpanahi_GoogleAnalyticsDataProcessingExtension,12,14,44,49,3,32,507,52,3,3,3.61,15,15
FatJohn_LightRiverToolkit,66,53,228,52,0,133,2706,347,16,16,7.92,55,55
FatturaElettronicaPA_BusinessObjects,21,11,75,26,1,58,1367,124,10,10,3.56,19,19
faustgames-ru_FaustGamesTools,409,942,1654,698,490,823,36604,3285,139,207,68.54,686,686
Feddas_ExpressionTreeVisualizer,8,4,15,2,0,9,227,36,0,0,1,9,9
fedoral10_RH,22,47,67,33,10,41,1025,150,4,4,5.81,20,20
feedhenry-templates_team-todo-xamarin,21,21,89,38,0,71,1020,113,2,2,6.95,31,31
feinoujc_NServiceBus.Mandrill,10,3,24,15,1,17,307,40,0,0,0,9,9
fekberg_HackerNewsNow,10,9,16,10,4,11,172,17,1,1,1.42,8,8
felixlindemann_Dokumentversionierung,8,8,37,29,0,7,571,53,0,0,0.77,7,7
fengrui358_CS_Lib,12,14,108,28,0,78,1977,269,0,0,0,6,6
FerozAhmed_DSGraphEdit,151,596,942,449,90,408,23567,2946,32,44,45.29,355,355
festelariane_TmcManagementSolution,92,48,279,110,1,163,3492,525,29,30,12.41,110,110
ffbli666_WordToPDF,1,0,4,0,0,0,106,24,0,0,0,0,0
filgou_AppStoreFramework,25,26,93,15,2,54,742,129,10,10,6.12,13,13
filipw_ScriptCs.Engine.Brainfuck,2,0,2,3,0,2,42,5,0,0,0,1,1
filipw_ScriptCs.HttpLineProcessor,2,0,2,2,0,1,29,2,0,0,0,1,1
filipw_Strathweb.Roslyn,3,6,12,1,2,5,171,17,0,0,2,1,1
firegiant_AzureStorageBuildTasks,6,1,16,17,0,10,389,30,4,4,1,3,3
firetw_Ripper,104,147,311,123,8,177,6894,739,19,24,21.04,103,103
fisshy_pvc-angularminify,2,2,7,3,2,5,128,22,0,0,0.6,1,1
fivepmtechnology_SharpGPS,20,71,89,47,12,43,2549,263,0,0,9.87,32,32
fjyuan_Readtable,7,8,24,0,6,17,359,37,1,1,0.58,7,7
flagshipxyz_bingmaps_gps_wpf,18,63,73,57,21,29,1566,110,4,5,4.28,6,6
flarn2006_Kaleidoscope,16,30,101,21,1,33,1086,163,3,3,5.09,9,9
flashcurd_Shared.Utilities,72,121,428,28,16,360,9427,716,13,16,13.15,65,65
flaviotsf_Experian.EmailValidation,6,4,5,11,0,4,189,16,0,0,0,5,5
FleaFX_RxBus,4,4,8,0,0,6,108,13,2,2,0.33,0,0
FloatinSeine_AkamaiPurge,33,32,80,46,0,40,918,113,11,10,5.76,48,48
FlorianGrimm_whid,3348,8541,18074,8877,770,9923,416716,46199,2312,3554,969.880000000004,11293,11345
FlorianRappl_WinFormsX,95,221,292,100,134,225,4949,470,5,5,9.93,67,67
Flowgear_flowgear-node-luxcloud-csl,4,6,27,19,0,10,1017,73,0,0,1.92,3,3
flumeware_MVCAPIHelper,11,4,26,20,0,15,400,57,0,0,0.75,16,16
FlyingPie_SteamDroid,20,61,69,17,15,51,1187,187,1,1,5.86,35,35
FMensurado_qlik-qms-api,125,312,278,309,3,118,12078,365,12,13,51,141,141
fnipo_blog,8,12,23,8,1,14,367,37,0,0,1.63,5,5
FObermaier_SharpMap.Rendering.Decorations.Legend,26,20,85,79,0,22,1939,201,18,26,8.25,67,67
FObermaier_SharpMap.Sandbox,25,23,106,57,2,49,1571,164,10,15,4.47,13,13
Foe-of-Eternity_Tremulous-Server-Search,12,23,54,21,6,37,775,105,0,0,3.19,17,17
forcedotcom_windowsphonedriver,112,275,250,88,153,146,23221,639,57,57,22.84,290,290
fordnn_universal-autosave,28,70,288,72,8,209,3039,512,2,2,11.56,84,84
forestrf_F4M-Downloader,0,0,0,0,0,0,0,0,0,0,0,0,0
Fosol_Fosol.Data,58,13,174,154,2,109,4427,332,7,7,5.11,97,97
fox1989_UnityTest,1354,6262,4838,524,5148,3654,83306,13046,160,176,452.8,482,482
foxip_mollie-api-csharp,15,6,9,79,0,7,693,19,0,0,0.85,12,12
fpaillard_NwdStudents,20,1,25,47,0,16,515,70,2,2,0.67,17,17
FracktalWorks_Fracktory,17,45,100,56,8,49,1889,192,2,2,4.93,13,13
FrankFan_MyCalculator,12,10,41,5,0,10,520,109,4,4,1.92,11,11
FrankMedvedik_phoneroom,322,678,1264,933,126,548,19666,2033,51,55,81.77,283,284
FrankyBoy_JRayX,60,88,235,24,30,202,3111,468,19,29,11.29,208,208
franse_videomanager,19,27,127,58,3,94,1793,243,0,0,3.42,27,27
FrayxRulez_Appirater-for-Universal,7,37,53,45,3,34,1321,105,0,0,4.29,4,4
FRCGameSense_BTLHelper,23,42,84,79,14,36,1746,161,0,0,5.26,15,15
fredericaltorres_JavaScriptDemoer,26,119,163,24,45,60,2943,339,6,7,8.66,24,24
fredrikeriksson_SwedishValidation,3,2,12,0,2,6,98,12,0,0,0,1,1
fredsakr_eloqua-csharp-sdk,47,33,51,128,5,47,1086,61,1,1,2,65,65
Freeflyjunkie_WebAPIDemo,13,2,67,39,0,29,597,85,1,1,0.55,26,26
FreezeBerries_BlurpJournal,17,0,31,23,0,30,420,37,0,0,0,5,5
FreezeBerries_easterStore,13,0,23,33,0,22,486,30,0,0,0,7,7
FrenchFry_HockeySDK-WPF,3,15,13,16,0,5,522,42,0,0,0.89,1,1
Frende_Event-handling,37,39,93,17,0,75,752,117,21,19,4.97,42,42
fresky_CodeInLiveWriter,2,1,9,0,0,3,102,24,0,0,0.75,1,1
friedkiwi_netcrypt,7,5,13,6,0,3,318,41,0,0,0,4,4
fronn_win-net-mon,89,281,377,266,6,209,9256,1267,24,24,26.84,214,214
frontporch_LiteQ,4,8,11,4,0,10,383,27,0,0,0,2,2
FrozenCow_sharpfilesystem,44,38,322,86,3,268,2770,501,20,21,9.23,73,73
fruitcode_Shiori,52,107,231,31,83,108,2358,362,0,0,3.89,60,60
fswire_api.net,27,46,57,58,15,25,1020,142,5,6,4.43,41,41
fueltherage_SpringStuff,0,0,0,0,0,0,0,0,0,0,0,0,0
Funkest_CS,371,978,1891,791,725,1263,26898,3042,28,37,39.73,414,414
Funnear_prof,57,60,114,112,14,98,2123,211,16,16,10.33,56,59
FutureProcessing_ef-migrate,2,1,7,0,0,1,83,12,0,0,0,1,1
FutureProcessing_FP.Templating.Excel,8,1,19,5,0,14,195,32,3,3,1,9,9
FYKSolutions_WatchKSL,13,12,17,38,5,10,475,41,0,0,1.97,11,11
G-Rad_instalazy,15,10,41,26,1,23,509,58,5,5,1.09,18,18
GabrielDav_Solid2D,30,56,83,52,25,63,1822,120,2,1,4.77,14,14
gabrielgreen_CsProjParser,15,0,7,19,0,6,211,8,4,4,0,12,12
gabrielmaldi_network-helper,29,35,153,32,1,74,2397,436,0,0,7.2,36,36
gabstv_Farseer-Unity3D,396,1698,2610,598,772,2006,58966,7400,84,90,119.4,1746,1746
gadrianrobert_icontroldirect-ecommerce,1676,3739,4010,4668,61,2485,125939,9098,607,592,165.44,3717,3717
Gadroc_EosSharp,17,66,118,45,0,89,2247,380,4,4,7.16,35,35
gagichce_QR-Code-Generator,10,42,54,3,1,31,2357,347,0,0,4.49,11,11
gamedevsam_PerforcePlugin,3,20,26,14,0,12,697,104,0,0,0.91,2,2
GameThrive_GameThrive-WindowsPhone-SDK,6,17,56,9,4,28,644,82,0,0,1.64,3,3
gandrusz_zipUnit,33,52,106,34,4,75,1313,229,13,14,7.99,45,45
ganesansays_HRMS,19,4,62,21,0,41,614,69,9,9,1.34,16,16
garaio_Garaio.CompositeC1Packages.WebsitePreviewProtection,4,8,11,16,3,4,296,20,0,0,1.3,4,4
garymcleanhall_AdaptiveCode,196,124,287,69,9,181,2831,398,117,70,32.92,141,422
gatepoet_EventStore.Workshop.Chat,3,5,10,2,4,6,105,13,0,0,0,3,3
gauravbe_MVCStore,27,8,86,26,0,49,641,118,9,9,1.86,30,30
gekowa_Cache,13,10,40,12,4,28,585,88,3,3,2.86,16,16
gemisis_ACM-Weekly-Raffle,5,8,12,4,0,6,178,22,0,0,1.17,2,2
generateui_ComAddinEvent,12,14,22,12,0,3,344,26,2,2,1.71,7,7
generateui_CountryInfo-LanguageInfo-CurrencyInfo,7,12,44,26,0,33,6052,95,0,0,3,14,14
GeoLearning_HR-WebServices-Examples-C-Sharp,6,3,14,0,0,9,241,24,2,2,0.6,1,1
geometer_FBReaderCS,564,834,1947,1030,173,1044,31977,3656,231,367,87.1,1298,1298
geoplex_openxmlutils,10,0,33,12,0,7,914,66,2,2,0,10,10
gep13_CS-Tabbed-Web-Browser,7,10,47,19,0,7,659,60,0,0,2.75,4,4
gep13_VBForums-Enhanced-Tabbed-Web-Browser,11,16,69,25,1,12,979,112,0,0,4.21,9,9
gerich-home_kopilua,14,25,329,0,12,267,5420,1224,0,0,5.4,2,2
Geta_oEmbed,12,9,27,35,0,19,605,48,1,1,1.66,15,15
Geta_vippy,17,10,61,83,1,42,1165,88,1,1,3.02,19,19
gfmatthews_imgurfordotnet-windows,34,27,40,139,1,32,1398,79,4,4,0.83,23,23
ggodas_BasicNhibernate,2,0,3,4,0,1,50,3,0,0,0,1,1
giacomelli_BackupSharp,33,13,120,58,0,70,2171,189,17,28,4,85,85
giacomelli_BotWorld,112,80,320,214,2,163,6347,621,54,53,9.53,196,211
GibraltarSoftware_Gibraltar.Agent.Web,4,15,51,21,0,12,881,170,0,0,1.66,2,2
gildorwang_RetryHelper,4,8,27,4,4,23,370,29,0,0,0.45,2,2
Gilnaa_SilverSurfer,26,17,106,35,3,67,1881,220,5,5,3.29,39,39
giuseppeporcelli_OAuthConsole,17,12,57,30,0,11,1267,180,0,0,0.94,14,14
GKBelmonte_SoundPlayer,54,87,176,79,11,122,2170,312,24,30,10.45,58,58
gkrsu_maparound.core,329,940,1956,893,53,1067,52692,6750,137,180,100.96,1115,1115
Glavin001_HalKart,34,170,360,118,24,120,5930,1236,2,2,6.74,60,60
gllera_git-wrapper,32,87,152,40,47,39,2889,332,5,6,9.68,45,45
gmchen_TheQuizzer,7,34,45,3,0,9,830,134,0,0,1.58,4,4
gmt-europe_GdiPresentation,194,1055,780,334,774,364,13916,1979,78,106,49.47,469,469
GNOME_pdfmod,1096,7144,6510,3590,3775,4325,207426,16054,415,525,505.16,3495,3495
gnosiszy_xtringer,2,4,9,0,1,7,98,19,0,0,0.79,1,1
goblinfactory_nosql-migrations,9,0,22,11,0,21,250,25,0,0,0,8,8
goblinhero_Xena.Club,24,9,69,38,1,39,712,82,7,10,0.5,25,25
godarklight_DMPServerListReporter,2,28,16,0,10,6,304,70,0,0,0.87,1,1
godarklight_DMPServerListReportingReceiver,9,62,39,1,43,23,960,149,0,0,1.84,16,16
goldytech_PdfConverter,18,3,35,25,0,24,677,44,8,8,1.74,13,13
GoneUp_Temu,776,1745,2446,590,979,1852,43350,6664,517,816,116.18,2285,2285
gonghaima_SportsStore,10,12,11,20,9,8,221,20,2,2,0,11,11
gonzoRay_Callisto,29,2,32,102,0,19,870,33,3,2,0.5,25,25
googleads_googleads-adxbuyer-examples,12,9,23,8,8,19,539,39,7,7,0,17,17
Gordon-Beeming_TFS-Dynamic-Process-Template,17,20,28,20,0,18,636,39,2,2,2.94,10,10
Goz3rr_IRCLib,9,4,23,25,0,17,536,65,0,0,0.83,11,11
Gracy33_AdopteUneDev,11,48,30,46,2,20,941,54,0,0,5.25,14,14
graemechristie_NinjaSettings,10,2,18,1,0,15,185,28,7,8,0.33,1,1
gragarwa_orchard,876,771,3541,1093,24,2208,42798,5598,445,550,108.63,1949,1949
Grandpa-G_AdminConsole,9,29,64,39,7,19,1496,237,0,0,3.71,6,6
Gray85_PrettyKifu,16,2,27,36,0,26,392,30,3,3,0.67,17,17
greeeeeen6_VC-Unity,102,508,436,92,462,272,5604,636,0,0,29.04,198,198
GreenfieldVentures_Dwarf.WebApi,11,11,45,7,0,23,597,92,2,2,1.88,10,10
greggman_hft-unity3d,94,203,377,128,53,297,7212,610,24,33,42.37,217,217
gregnehus_StructureMap.AutoMocking.NSubstitute,11,28,12,2,0,9,180,13,4,4,1.33,5,5
Gremlin2_bookscanner,141,331,694,300,13,430,23232,1917,53,46,51.69,233,233
Gremlin2_Fb2Fix,182,951,1251,391,222,806,35609,4805,60,64,99.02,372,372
griffina_SnmpSharpNet,70,237,541,149,129,490,14244,1311,46,50,17.28,269,269
Grinderofl_Tracker,18,0,17,19,0,15,350,22,6,6,0,10,10
GrindFest_GrindFest,153,230,313,89,173,256,3880,442,66,66,54.01,345,345
gripp_psychic-octo-nemesis,4,9,14,5,0,2,347,55,0,0,0.82,1,1
grj1046_GrjCnblogsForWP8,29,96,160,140,2,24,4014,659,0,0,8.98,25,25
grumpycatsaysno_FormEntiresPDFExport,2,4,9,2,0,3,120,21,0,0,1,1,1
GruntTheDivine_BlazarVM,121,88,284,27,16,221,3387,621,83,83,20.65,427,427
GruntTheDivine_quasar-sharp,141,188,351,76,29,294,4624,876,84,85,37.19,572,572
Grymok_test,42,44,144,75,5,82,1885,215,13,22,6.57,64,64
gsscoder_exprengine,68,113,272,103,13,170,4469,662,23,26,19.49,148,148
GuildfordBC_address-api-client,3,4,7,2,3,5,157,19,0,0,0,0,0
GuildfordBC_linq,11,4,51,0,0,50,712,134,0,0,0,2,2
guilherme799_MailBoxService,12,0,8,17,0,7,181,12,2,2,0,8,8
guillaume86_VirtualPath,55,70,419,161,4,216,3942,632,35,76,19.71,114,114
Gurux_Gurux.Service,104,182,526,450,84,336,17586,2536,10,10,25.88,286,286
GusBricker_cPanelSharp,14,28,33,12,17,27,761,64,3,3,1.61,17,17
guy-murphy_conclave-public,223,550,1653,316,167,1079,29396,7186,159,251,48.93,501,501
gvalderrama_NotificacionesRSS,4,1,5,0,0,4,37,6,0,0,0,0,0
gvcayetano_GuildWars2Events,18,28,36,19,14,27,483,55,2,2,3.4,19,19
gyphie_hydrawallpaper,21,31,90,32,0,40,2544,411,0,0,4.86,18,18
gyphie_photocaptioner,7,5,43,14,0,11,811,164,0,0,1,11,11
gyuwon_weak-subscription,1,0,1,0,0,0,6,1,0,0,0,0,0
h1pp0_Cure-Please,7,54,139,3,3,5,3987,497,0,0,0.94,6,6
h2h_CandyCMS,76,63,240,99,0,158,3087,470,24,25,15.73,88,88
Haacked_TextWrapper,2,0,4,0,0,3,94,20,0,0,0,0,0
hadasg_RIP2Image,8,9,57,0,1,31,1290,112,1,1,1.18,12,12
half-ogre_TileWorld,2,0,2,5,0,2,38,3,0,0,0,0,0
handruin_spdif-ka,6,13,24,11,0,7,406,31,0,0,0.5,3,3
hanishi_weldr2,73,135,295,122,28,182,4803,516,21,24,15.39,63,63
hanleyChu_prj,186,193,517,234,45,307,9464,903,121,106,31.81,306,315
hansdude_ds3_net_sdk,126,92,336,248,4,223,4645,528,58,59,21.44,329,329
Hansi7_AVsorter,24,43,151,60,1,62,2614,312,2,2,10.98,36,36
hanwest00_MYTestWeb,148,84,459,147,2,317,4309,654,142,94,5.82,196,310
HaoTan_APlusSecurityNZ,21,20,103,87,1,100,2289,127,0,0,1.77,29,29
HarnessProject_Harness,271,78,779,205,4,578,8306,915,89,97,15.35,203,224
harryhazza77_easynetq,3,0,3,1,0,0,37,8,0,0,0,2,2
hartez_XmppBot-Commands,7,1,8,10,0,6,174,27,0,0,0.4,8,8
Harubex_KlackTracks,2,5,7,4,0,0,99,12,0,0,0.86,1,1
hashashin_input_fix,15,47,33,24,3,8,703,41,6,6,2.96,15,15
havidad_ERecipeCalculator,4,1,19,0,0,6,137,37,0,0,0,0,0
haydarsahin34_TechnicainHelper,8,12,51,8,0,7,731,139,0,0,3.03,9,9
hazzik_Sharpen.Runtime,162,154,922,57,21,830,8106,1481,50,56,32.18,127,127
HCTsai_PSVM,30,101,163,42,11,110,4526,902,7,10,10.87,78,78
hdkn235_PasswordTool,40,45,190,21,9,134,3278,520,6,7,5.89,39,43
HeadspringLabs_Tarantino,322,335,995,121,60,541,10920,1467,139,140,35.66,384,384
heaversm_unity-osc-receiver,0,0,0,0,0,0,0,0,0,0,0,0,0
hecki97_2DPlatformer,0,0,0,0,0,0,0,0,0,0,0,0,0
HedgehogDevelopment_BuildExtensions,14,3,29,40,0,26,560,66,2,2,0,11,11
HelloSCHM_git_control,82,183,348,68,91,170,4527,648,1,1,9.73,63,63
hellxcz_SocialShopper,126,95,464,102,21,324,7342,911,56,64,13.52,167,167
Hemaolle_spacewar,25,95,86,35,6,56,1585,250,12,24,7.25,31,31
henrybond158_Holiday-App,2057,10570,11265,5326,4346,6047,319756,30634,1045,1258,935.020000000002,9459,9948
hermanliang_BCTest,156,475,663,203,67,296,27798,2567,66,77,47.29,408,408
hermanussen_Sitecore-FixtureDataProvider,11,3,81,20,0,67,926,153,2,2,0,3,3
hgoycoolea_insitu.platform,96,0,264,143,0,200,5553,746,3,3,0,153,153
hgtonight_1GAM-Mono-Yawn,6,41,39,2,4,27,704,139,0,0,2.89,7,7
hhahh2011_CH.Tools,16,32,26,57,0,11,1118,63,0,0,0,13,13
hidayat365_Biruni.NET,34,25,108,98,0,67,4372,223,8,8,4,20,20
hidayat365_Inventory.NET,188,215,1286,769,29,775,47028,3390,54,54,42.11,465,465
highfield_azure-veneziano,73,99,163,87,29,103,3617,382,28,33,24.49,137,150
HigorCesar_agenda-restfulie,3,0,4,5,0,3,66,8,0,0,0,2,2
hihijack_cubeworld,8,0,0,0,0,0,68,0,0,0,0,0,0
hihijack_lostcity,26,70,66,0,48,38,1558,276,0,0,5.94,18,18
hikalkan_scs,118,95,404,121,2,199,7379,682,48,49,13.23,274,308
Hill30_NDjango,168,172,554,200,23,378,8356,986,37,41,25.55,164,164
hinovana_libwp7n2012,60,617,266,432,451,143,15413,862,15,15,29.81,117,117
HippoValidator_ACheckerAccessibilityValidationClient,5,2,5,7,0,2,107,6,1,1,0.62,3,3
HippoValidator_GooglePageSpeedClient,47,52,67,66,0,63,855,76,32,35,8.52,43,43
Hitcents_gamecenter-multiplayer-test,4,5,17,1,1,11,175,21,0,0,1.72,3,3
Hitcents_samsung-chord-test,3,2,5,0,0,3,61,9,0,0,0,1,1
hjgraca_azuretake,70,20,89,760,1,71,6133,150,4,4,2,29,29
hkiaipc_yh,501,1131,1464,783,414,965,36530,2651,144,156,145.92,822,828
hmemcpy_ReSharper.ExJava,68,29,128,33,0,91,2385,378,45,45,3.86,125,125
holmstrom_Expert,5,0,25,2,0,4,246,41,0,0,0,4,4
holmstrom_Kilmer,6,0,38,0,0,17,216,56,0,0,0,5,5
holymoo_Litmus,8,5,14,5,0,6,235,27,3,3,0.75,9,9
homastudiocorp_SnagIt,8,8,58,0,0,58,2105,58,0,0,0,0,0
homoluden_WPF2PDF,459,2412,2127,1378,1251,1410,74781,5455,205,257,184.71,1382,1382
HoneyFox_NBody,19,85,65,24,23,32,1471,194,6,6,5.43,28,28
honghaier2020_td,5,13,34,5,0,10,467,87,0,0,2.31,3,3
hostitherepc_Fork-1,420,1311,2705,1220,154,1367,59315,5989,81,84,144.56,667,667
hovek_WebShop,155,81,333,435,21,207,19931,747,40,48,11.29,341,341
hpavlov_video.directshowvideocapture,17,53,100,62,4,52,2382,260,0,0,5.6,32,32
hsreina_deezer-decrypt-with-csharp,2,0,3,0,0,1,84,13,0,0,0,0,0
HugoGomezArenas_TallerXamarinAndroidITS,3,6,9,0,0,6,114,10,0,0,0.68,1,1
hummingbird2012_flashUtils,41,95,107,17,63,86,2700,272,3,3,5.46,71,71
humphd_VncSharp,44,442,307,54,43,175,11326,1279,16,20,16.4,93,93
hungndv_TappingBalloon,102,392,846,142,170,422,12086,1506,26,24,26.06,242,242
husathap_Charlotte,83,183,314,57,28,284,4993,645,70,72,31.42,317,317
HuweiKop_Demo,68,18,215,126,1,148,4214,581,10,10,1.53,66,66
HydrogenApps_XamarinDemos,13,11,23,21,0,7,552,37,0,0,3.12,8,20
Hyftar_HBoard,33,8,77,36,6,61,960,124,11,17,1.62,73,73
Hypaethral_Domain-Duper,13,23,81,10,2,18,1272,325,0,0,3.95,14,14
i-e-b_LiteProxy,12,8,35,5,0,20,517,60,1,1,1.33,12,12
i-love-to-code_UnityDurableTaskFramework,11,3,19,7,0,10,343,31,6,6,0.8,19,19
iamaya_FieldSurveyForms,56,6,65,330,0,50,2201,72,0,0,0.92,55,55
iarif20_ARMS,9,22,55,0,0,50,269,55,0,0,5.9,6,27
ibebbs_ElasticLogging,2,7,11,0,0,8,88,15,0,0,0.81,0,0
ibgib_ibXamarinConcepts,17,3,17,10,0,12,262,21,3,3,1,11,11
iboalali_Image-Resolution-Ratio-Calculator,5,16,31,5,0,2,526,71,0,0,0.86,2,2
icaustonltd_mtb-fitness,877,772,3545,1093,24,2211,42821,5602,447,553,109.13,1950,1951
icedream_Icebot,11,12,23,19,3,14,590,54,3,4,1.57,5,5
Icehunter_ffxivapp-localization,7,0,8,0,0,3,465,37,0,0,0,0,0
iceriver102_Window,143,493,1076,371,180,414,19081,3115,1,1,55.19,345,345
ichari_ichari,642,2074,10562,1567,396,8839,213928,26630,271,270,144.53,987,987
icol2006_Windows_SQlite,8,36,113,4,0,38,1331,236,0,0,0.96,5,5
idavis_innovatian.configuration,23,19,165,58,0,84,3203,424,11,15,5.01,40,40
IdentityServer_IdentityServer3.AspNetIdentity,1,2,24,2,0,5,333,73,0,0,0.65,0,0
IdentityServer_IdentityServer3.EntityFramework,70,54,215,128,2,142,3547,340,16,18,8.78,115,115
IdentityServer_IdentityServer3.MembershipReboot,2,1,21,1,0,6,246,46,0,0,0.4,0,0
idiotandrobot_thispc,17,44,112,37,1,56,1528,274,1,1,5.15,30,30
ifelsedeveloper_LCardAnalizatorRMCA,60,361,340,95,79,133,9456,1273,10,17,16.86,107,107
ifgeny87_Test_Gapi_Calendar_V3,1,0,1,0,0,0,7,1,0,0,0,0,0
igNew_IgNew-dotNet,4,10,11,4,0,5,216,19,0,0,0.81,1,1
igor-toporet_SampleCashRegister,10,5,26,20,0,20,306,30,5,5,1.61,13,13
igorskir_CodeProject-Examples,375,372,922,518,80,419,13425,1367,77,68,49.6,252,342
IgorZanne_SisLar,44,52,110,95,2,51,2068,362,1,1,7.96,76,76
iiiken_HideNinja,102,197,366,189,41,179,8248,1006,6,6,18.9,145,145
ikbenerik_tunestore2,38,116,210,16,100,78,2119,301,0,0,4.14,41,41
IkerRuizArnauda_Hydra,31,35,78,45,5,56,1265,120,21,21,5.98,31,31
