Number of analyzed projects,Total LOC,Total types,Total namespaces,Total implementation smells detected,Total design smells detected,Total architecture smells detected
1,1240,13,3,6,14,1
1,1162,11,1,4,3,0
3,189,9,1,2,4,1
3,5420,68,11,667,41,6
5,1577,58,9,48,103,3
1,15381,121,4,107,69,4
2,7726,227,6,284,335,12
2,0,0,0,0,0,0
1,809,6,1,4,4,2
1,768,17,4,9,17,1
1,212,4,1,0,2,0
1,4570,99,11,61,76,7
3,10060,128,16,70,111,14
2,1318,50,9,7,39,16
2,1318,50,9,7,39,16
3,1346,55,17,8,27,2
2,1204,30,6,20,9,0
1,7558,127,20,69,66,28
13,5217,122,25,75,71,14
2,7387,129,25,304,147,24
4,16259,183,12,147,176,4
13,9362,90,14,38,77,3
3,293,8,3,1,6,0
6,1194,21,14,0,15,0
11,6514,94,28,57,34,31
1,1492,12,1,4,17,1
5,20523,204,24,28,100,20
24,21166,286,66,361,224,19
0,0,0,0,0,0,0
2,2365,18,4,37,14,2
12,21627,226,25,600,133,24
1,435,4,1,2,1,0
2,506,9,3,6,3,0
6,11322,127,15,50,78,20
20,1068854,4753,221,31623,6969,765
10,69981,640,45,588,730,50
3,50903,733,65,1859,840,161
1,144,2,1,5,3,0
342,30084,636,338,1057,136,19
1,932,3,2,9,1,0
2,0,0,0,0,0,0
3,7597,210,9,119,232,17
5,4294,37,5,145,37,2
2,6242,101,14,49,58,20
2,1210,21,2,49,5,0
3,3297,77,24,29,55,10
3,3053,39,8,9,22,2
7,24552,216,20,2465,403,19
0,0,0,0,0,0,0
8,7409,131,20,102,146,7
20,40602,515,53,511,295,45
1,6871,43,1,127,55,1
1,402,5,3,9,1,0
1,304,4,1,0,3,0
2,4109,24,7,40,58,3
5,30245,167,16,735,210,23
1,1186,31,11,4,17,2
9,13971,215,26,126,155,13
2,3039,54,21,201,197,1
1,51111,383,28,1066,460,39
13,670077,76,49,2095,182,8
1,3335,51,4,48,45,3
2,943,14,4,51,10,1
0,0,0,0,0,0,0
1,16021,89,11,3465,181,29
2,35223,193,11,6863,446,19
4,60900,233,4,2395,526,4
4,3289,32,4,45,32,3
1,15372,122,11,3240,115,22
9,6455,74,11,137,30,10
41,313278,1874,155,21114,2923,231
2,993,15,5,10,4,2
9,38657,394,32,411,239,75
3,1145,14,3,12,6,1
5,5473,25,7,520,34,3
1,3964,106,11,52,37,27
1,790,18,2,22,27,2
1,936,25,2,32,24,4
2,4336,10,5,268,51,0
1,589,9,1,3,15,0
11,27543,197,25,1324,176,10
40,443163,2823,352,6599,3266,831
3,2356,29,8,5984,14,2
2,2074,34,9,39,25,12
7,43276,345,20,1410,366,14
2,151,4,2,2,1,0
1,170049,465,3,8658,1415,4
3,38371,436,9,422,282,5
27,76965,484,92,1415,737,53
38,12724,399,91,222,573,32
1,360,5,1,4,5,0
10,4736,26,11,742,38,1
5,1496,35,10,23,19,1
2,335,12,3,4,14,1
5,1492,22,6,60,9,1
3,114,2,1,2,0,0
3,0,0,0,0,0,0
2,403,7,2,4,0,2
52,175510,1475,140,4239,1921,150
11,9960,127,30,677,118,7
5,56411,265,31,746,265,14
184,1319379,13365,414,26793,12704,506
50,65756,489,74,2512,559,40
